OsID,OsGene
LOC_Os02g15169,GluB-1 
LOC_Os02g16830,GluB4 
LOC_Os02g16820,GluB5 
LOC_Os02g15070,GluB6 
LOC_Os02g15090,GluD 
LOC_Os04g45470,Glup3|OsVPE1 
LOC_Os03g15650,GLUP6|GEF 
LOC_Os01g10110,Gn1a|OsCKX2 
LOC_Os04g32510,Gnp4|LAX2 
LOC_Os02g53200,Gns1 
LOC_Os02g58590,GnT1 
LOC_Os06g07250,GOS9 
LOC_Os03g11100,GOT1B|GLUP2 
LOC_Os07g04930,gp1 
LOC_Os03g61950,GPA3 
LOC_Os03g43990,GRP162 
LOC_Os02g47280,GS2|OsGRF4|GL2|GLW2 
LOC_Os05g06660,GS5 
LOC_Os04g52920,GSD1 
LOC_Os05g11730,GSK2 
LOC_Os06g08380,GSL5|OsGSL5 
LOC_Os04g45750,GT-2 
LOC_Os02g15220,GTE4|OsGTE4 
LOC_Os03g08170,GUDK 
LOC_Os02g14720,GW2 
LOC_Os05g09520,GW5|qSW5 
LOC_Os07g41200,GW7|GL7|SLG7 
LOC_Os06g12400,HAZ1|HOX1a 
LOC_Os05g44140,Hb5 
LOC_Os02g40860,hbd2|OsCKI1 
LOC_Os06g16370,Hd1 
LOC_Os06g05060,Hd17|Ef7|OsELF3-1|OsELF3.1 
LOC_Os08g04780,Hd18 
LOC_Os06g06320,Hd3a 
LOC_Os08g07740,Hd5|DTH8|Ghd8|OsHAP3H|LHD1|EF8 
LOC_Os03g55389,Hd6|CK2 
LOC_Os08g25570,HDA705 
LOC_Os02g55080,HDR1 
LOC_Os01g68104,HDT702 
LOC_Os02g13810,HEI10 
LOC_Os06g06530,HGW 
LOC_Os06g44410,HK1 
LOC_Os01g34850,HKT3|OsHKT2;3 
LOC_Os10g32920,HLL 
LOC_Os09g31970,HMG2 
LOC_Os06g51220,HMGB1|OsHMGB1 
LOC_Os02g48330,HMGRI 
LOC_Os04g38310,HN1L 
LOC_Os03g10210,HOX12 
LOC_Os12g39880,HSA1a 
LOC_Os12g39920,HSA1b 
LOC_Os06g46900,HSA32 
LOC_Os05g44340,HSP101|OsClpB-cyt|HSP100 
LOC_Os02g01030,HSP40 
LOC_Os11g47760,HSP70 
LOC_Os08g39140,hsp82A 
LOC_Os06g50300,Hsp90|rHsp90|OSGrp94 
LOC_Os12g27254,HSR201 
LOC_Os05g33940,HSR203J 
LOC_Os04g46470,HTD1|OsCCD7 
LOC_Os03g10620,HTD2|D88|D14 
LOC_Os11g07240,Hwi1 
LOC_Os03g02650,HYR 
LOC_Os01g53880,IAA6|OsIAA6 
LOC_Os01g22630,IAI1 
LOC_Os01g04050,IAI2 
LOC_Os04g56950,IAMT1 
LOC_Os09g12150,IBF1 
