OsID,OsGene
LOC_Os01g51450,Orysa;NAP1;3|OsNAP1_L3
LOC_Os01g51610,OsLFL1
LOC_Os01g51980,OsTARL2
LOC_Os01g52010,OsTARL1
LOC_Os01g52050,D61|OsBRI1
LOC_Os01g52110,OsRZFP34
LOC_Os01g52230,OsACP1
LOC_Os01g52500,NADP-ME2|OsNADP-ME2
LOC_Os01g52680,CFO1|OsMADS32
LOC_Os01g53000,OsTPS3
LOC_Os01g53040,OsWRKY14|OsWRKY33
LOC_Os01g53200,OsYUCCA3
LOC_Os01g53220,OsHsfC1b
LOC_Os01g53240,RD22|OsBURP03|OsBURP3
LOC_Os01g53260,OsWRKY23
LOC_Os01g53294,OsrbohA|Osrboh2
LOC_Os01g53460,OsUGT706D1
LOC_Os01g53630,OsOTS3
LOC_Os01g53880,IAA6|OsIAA6
LOC_Os01g53930,OsHXK6
LOC_Os01g54270,D10|OsCCD8|OsCCD8b
LOC_Os01g54515,OsNPF4.5
LOC_Os01g54540,WLP1
LOC_Os01g54550,OsHsfA4a|OsHsfA4b
LOC_Os01g54600,OsWRKY13|WRKY13
LOC_Os01g54620,OsCesA4|Bc7|bc11
LOC_Os01g54810,THIS1
LOC_Os01g54860,NOG1
LOC_Os01g54890,OsERF922
LOC_Os01g55200,OsKAT1
LOC_Os01g55240,GA2OX3|OsGA2OX3
LOC_Os01g55280,OsMY1
LOC_Os01g55440,OsCIPK30
LOC_Os01g55450,OsCIPK12
LOC_Os01g55940,OsGH3-2|OsGH3.2
LOC_Os01g55974,ST2
LOC_Os01g56190,RNAhA
LOC_Os01g56200,NH2
LOC_Os01g56330,DRUS2|FLR2
LOC_Os01g56350,TCM1
LOC_Os01g56380,TYDC
LOC_Os01g56420,COPT1
LOC_Os01g56470,XB24
LOC_Os01g56550,OsTFIIF2-2
LOC_Os01g56880,OsPAP10a
LOC_Os01g56940,OsEXO1
LOC_Os01g57110,ALT1
LOC_Os01g57210,OsKTN80c|OsWD40-26
LOC_Os01g57240,OsULT1
LOC_Os01g57310,Pi37
LOC_Os01g57340,PISH
LOC_Os01g57480,SDS2
LOC_Os01g57610,OsGH3.1|OsGH3-1|LC1
LOC_Os01g57890,OSTF1
LOC_Os01g58240,RSP1
LOC_Os01g58420,AP37|OsERF3
LOC_Os01g58750,OsGCD1
LOC_Os01g58790,OsCMK|OsIspE
LOC_Os01g59100,Os6
LOC_Os01g59120,CycB1;1|OsCycB1;1
LOC_Os01g59150,Ostub16
LOC_Os01g59350,OsTGA2
LOC_Os01g59440,OsLRR1
LOC_Os01g59500,U3
LOC_Os01g59530,OsCaM61
LOC_Os01g59660,OsMYBGA|OsGAMYB
LOC_Os01g59760,HBF2
LOC_Os01g59920,GRA78
LOC_Os01g60020,OsNAC4
LOC_Os01g60270,OsWOX13
LOC_Os01g60490,OsWRKY22
LOC_Os01g60660,OsARC
LOC_Os01g60740,Psd1|Ptd1
LOC_Os01g60810,OsOFP6
LOC_Os01g60860,OsPUB3
LOC_Os01g60900,OsEPFL9
LOC_Os01g61070,OsATX
LOC_Os01g61080,OsWRKY24
LOC_Os01g61160,OsChI1
LOC_Os01g61380,OsMDH1
LOC_Os01g61390,OsYSL18
LOC_Os01g61480,LAX1
LOC_Os01g61500,OsBAG4
LOC_Os01g61550,OsAMT2;3
LOC_Os01g61560,OsCDS5
LOC_Os01g61620,OsSTK1
LOC_Os01g61810,OsHAP3A
LOC_Os01g61900,OsCCT01
LOC_Os01g61940,OsABCG3
LOC_Os01g62020,UXS-4
LOC_Os01g62070,OsMTP11
LOC_Os01g62190,ZFP179
LOC_Os01g62200,OsDSR2
LOC_Os01g62410,OsMYB3R-2
LOC_Os01g62420,OscTPI
LOC_Os01g62430,Rpp17|OsERG1
LOC_Os01g62480,Oslacc
LOC_Os01g62610,OsFKBP20-1b
LOC_Os01g62760,OsPP2C09|OsPP15|OsPYL2
LOC_Os01g62780,OsHESO1
LOC_Os01g62840,OsMPG1|OsVTC1-1
LOC_Os01g62860,OsAKR1|OsI_04426
LOC_Os01g62870,AKR4C14|OsI_04428|OsAKR2
LOC_Os01g62880,OsI_04429|OsAKR3
LOC_Os01g62920,qSH1|RIL1
LOC_Os01g62990,OsRacGEF1
LOC_Os01g62990,OsRopGEF7B
LOC_Os01g63220,WLP2|OsFLN1
LOC_Os01g63270,Pho2
LOC_Os01g63420,OsCOI1|OsCOI1a
LOC_Os01g63510,QHB
LOC_Os01g63770,OsAUX1
LOC_Os01g64250,OsHORZ1
LOC_Os01g64310,ENAC1
LOC_Os01g64380,REL1
LOC_Os01g64430,OsOFP8
LOC_Os01g64660,MOC2|FBP1
LOC_Os01g64730,OsABF1|OsABI5|OREB1|OsbZIP10
LOC_Os01g64790,OsEREBP2|ERF99
LOC_Os01g64890,OsMGT1
LOC_Os01g64960,OsPsbS|psbS1
LOC_Os01g64970,SAPK4|OSPDK
LOC_Os01g64980,Os-POLLUX
LOC_Os01g65230,PDK1
LOC_Os01g65350,OsdNK2
LOC_Os01g65410,OsCADT1
LOC_Os01g65500,OsCLC1
LOC_Os01g65660,OsAAP5
LOC_Os01g65670,OsAAP6|qPC1
LOC_Os01g65900,OsPH1
LOC_Os01g66030,OsMADS2
LOC_Os01g66100,sd1|GA20ox2
LOC_Os01g66120,OsNAC6|SNAC2
LOC_Os01g66290,OsMADS21
LOC_Os01g66360,OsMCS
LOC_Os01g66590,OsIG1
LOC_Os01g66630,PSRK2
LOC_Os01g66690,ZIP4|SPO22
LOC_Os01g66940,OsFKI
LOC_Os01g67100,FSM|CAF-1
